docId,slug,productTitle,asin,httpStatus,inStock,detectedTitle,titleMatch,pageBytes,confidence
"c7a844ed-8fab-47d3-9719-52805f27d79f","eucerin-baby-eczema-relief-body-cream","Eucerin Baby Eczema Relief Body Cream","B00DEXA0LY","","UNKNOWN","","UNKNOWN","","LOW"
"cd906791-7a8b-42e1-aa33-d6f3965947c8","eufy-e21-4k-baby-monitor","eufy Baby Monitor E21 (4K Camera)","B0DDXCWMRK","","UNKNOWN","","UNKNOWN","","LOW"
"8c127f02-0ab0-4202-a907-9f87eba7d1d4","ezviz-c6n--baby-monitor","EZVIZ C6N Security Camera","B07ZC1Q6W6","","UNKNOWN","","UNKNOWN","","LOW"
"5ba97848-add6-4c8d-a7a8-d5ae71cb4987","hellobaby-hb6550-baby-monitor","HelloBaby Upgrade Monitor (HB6550)","B09GM8JZM9","","UNKNOWN","","UNKNOWN","","LOW"
"36d6ad47-8c1e-47ca-a7c1-72b8fff27ea4","himalaya-baby-lotion","Himalaya Baby Lotion","B008YD5500","","UNKNOWN","","UNKNOWN","","LOW"
"a3a32bba-809a-46d5-a2a4-c5116dc838eb","hp-14-n150-16gb-student","HP 14 Student Laptop (Intel N150, 16GB RAM)","B0FPXJ6G6B","","UNKNOWN","","UNKNOWN","","LOW"
"eed46a9e-68de-44e4-ac41-a9398faaba09","hp-15-fc0025dx-ryzen5-touch","HP 15-fc0025dx (Ryzen 5 7520U, Touchscreen, 512GB)","B0DB5B5WWS","","UNKNOWN","","UNKNOWN","","LOW"
"b40346ff-48be-401b-aba3-35dde656871c","hp-stream-14-n150","HP Stream 14 (Intel N150, 4GB, Cloud Storage)","B0G5PD1WFT","","UNKNOWN","","UNKNOWN","","LOW"
"811d6310-4994-4085-a2e8-d22b084e5206","hp-victus-15-fa2701wm-laptop","HP Victus 15 (FA2701WM) Gaming Laptop","B0DN5RWNNC","","UNKNOWN","","UNKNOWN","","LOW"
"e08ac2d6-2397-4a39-a0ea-39ff2234bb77","huawei-freebuds-se-3-earbuds","HUAWEI FreeBuds SE 3","B0DN8M5329","","UNKNOWN","","UNKNOWN","","LOW"
"6bb47258-9bdd-4ec1-b4ec-f4722049fb68","imou-1080p-security-camera-dk2--baby-monitor","Imou 1080P Security Camera (DK2)","B0CP59QXSN","","UNKNOWN","","UNKNOWN","","LOW"
"0f0a52e1-0819-48ac-9fee-21049427a7cf","jbl-tune-770nc-wireless-headphone","JBL Tune 770NC Wireless Headphone","B0C6Y5FSQ2","","UNKNOWN","","UNKNOWN","","LOW"
"c91f61c0-9631-46c8-bf31-b41964a1a1d7","jbl-tune-780nc-wireless-headphone","JBL Tune 780NC Wireless Headphone","B0FV3R6NLQ","","UNKNOWN","","UNKNOWN","","LOW"
"54022996-a542-46e9-86cd-d7f87f9acde0","johnsons-baby-oil","Johnson’s Baby Oil","B01FURXSGA","","UNKNOWN","","UNKNOWN","","LOW"
"2a1bd80d-29ef-4c1a-a10b-334cb7d3927e","kemei-2299-professional-trimmer","Kemei 2299 Professional Zero-Gapped Trimmer","B0CHYHTBY7","","UNKNOWN","","UNKNOWN","","LOW"
"59faef7f-3e5d-4df3-966f-38b4946ab4fa","kenwood-air-fryer-grill-xl","KENWOOD Air Fryer + Grill XL (4.5L)","B07VBB4MNF","","UNKNOWN","","UNKNOWN","","LOW"
"e8f797ea-b7c8-4b7f-be1a-1fe0b87ca7b9","lenovo-legion-5i-oled-laptop","Lenovo Legion 5i Gaming Laptop (OLED)","B0F6NRYPPG","","UNKNOWN","","UNKNOWN","","LOW"
"9371dd41-7b2d-4a0f-80a1-88c10d9ac927","lenovo-slim-3-chromebook-14","Lenovo Slim 3 Chromebook 14"" Touchscreen","B0DCLJ9V2B","","UNKNOWN","","UNKNOWN","","LOW"
"abf7eeb0-f82f-46b2-b3c9-0cc77bf5bcdc","lenovo-thinkpad-e16-g2-business-laptop","Lenovo ThinkPad E16 Gen 2 Business Laptop","B0DNQFK6B9","","UNKNOWN","","UNKNOWN","","LOW"
"b1692b2a-b273-42d8-af7b-b39eba1cb623","lenovo-yoga-7i-2-in-1-laptop","Lenovo Yoga 7i 2-in-1 (Intel Core Ultra 7)","B0FM3F1SGH","","UNKNOWN","","UNKNOWN","","LOW"
"e2f1d549-0240-45bc-a0b3-2d4dfd7416da","lollipop-turquoise-baby-monitor","Lollipop Baby Camera","B07MGKBCWC","","UNKNOWN","","UNKNOWN","","LOW"
"7032a36e-4c6e-4ca1-8d97-f7f3c8bc668f","marshall-major-v-bluetooth-headphone","Marshall Major V On-Ear Headphone","B0D1VN2VB7","","UNKNOWN","","UNKNOWN","","LOW"
"1b91e5bc-9f50-4100-9688-9891adbd0a7b","microsoft-surface-laptop","Microsoft Surface Laptop (2025) Copilot+ PC","B0DZBMVVLT","","UNKNOWN","","UNKNOWN","","LOW"
"08c25589-3fec-4d09-a539-9d10551132f2","mustela-hydra-bebe-body-lotion","Mustela Hydra Bebe Body Lotion","B01N76TPJP","","UNKNOWN","","UNKNOWN","","LOW"
"a0891184-3b4c-456f-87d6-926886a78453","mustela-vitamin-barrier-cream-123","Mustela Vitamin Barrier Cream 1-2-3","B00VNTF1TC","","UNKNOWN","","UNKNOWN","","LOW"
"6ad5aad9-dfaf-42bf-8297-be9484e6d1fc","nanit-pro-smart-baby-monitor-uae","Nanit Pro Smart Baby Monitor","B08R13FP7X","","UNKNOWN","","UNKNOWN","","LOW"
"546de062-96a4-40ba-9b20-5a777e399f08","ninja-air-fryer-max-xl-af160me","Ninja Air Fryer Max XL AF160ME (5.2L)","B085BF3YXG","","UNKNOWN","","UNKNOWN","","LOW"
"bad644ac-125f-438c-a80c-0ab4cbb5f0db","nutricook-air-fryer-slim-xl","Nutricook Air Fryer Slim XL (7.6L)","B0CSND4CYX","","UNKNOWN","","UNKNOWN","","LOW"
"f6e64b6e-ef7d-42b3-9c17-d2b674be1384","olov-for-man-grooming-kit-trimmer","OLOV For Man (21-Piece Kit)","B0CGHWFF71","","UNKNOWN","","UNKNOWN","","LOW"
"8fa13442-9180-46b3-859c-950bab9bc931","panasonic-er2051-trimmer","Panasonic ER2051 (Made in Japan)","B076H6S3P4","","UNKNOWN","","UNKNOWN","","LOW"
"ea78598c-4586-40d7-b8c2-fd3ba84ef9e8","panasonic-es-sa40-pro-curve-shaver","Panasonic Pro Curve (ES-SA40)","B008COTFXE","","UNKNOWN","","UNKNOWN","","LOW"
"62543df2-502a-441d-a896-49972075b538","philips-dual-basket-air-fryer-3000","Philips Dual Basket AirFryer 3000 Series (9L)","B0CPGPD4BY","","UNKNOWN","","UNKNOWN","","LOW"
"3b2cdc8e-7634-4664-bd28-6e5ff14580c3","philips-multigroom-series-3000-mg3720-trimmer","Philips Multigroom Series 3000 (MG3720/33)","B07BHXZLZR","","UNKNOWN","","UNKNOWN","","LOW"
